feature,mu_gain,pi_gain,total_gain
X409,20.547843742370606,116.85160994529724,137.39945368766786
X154,57.526188707351686,79.22678175419568,136.75297046154736
X65,59.85995473861694,76.67728874087334,136.5372434794903
X817,63.49433336257935,72.76789166927338,136.26222503185272
X800,94.16761751174927,41.90248003005981,136.07009754180908
X74,31.31233768463135,104.67636842429638,135.98870610892774
X818,60.80240020751953,73.34929366111756,134.1516938686371
X77,63.143853998184206,69.2509220212698,132.394776019454
X824,74.52017030715942,57.57946193218231,132.09963223934173
X24,67.61092166900634,63.91755667924881,131.52847834825516
X1011,48.60968823432923,82.6999776005745,131.30966583490374
X840,77.7039026260376,53.324917030334475,131.0288196563721
X40,81.58486933708191,49.12677380442619,130.7116431415081
X486,68.45988607406616,61.51477028131485,129.974656355381
X570,44.26828012466431,85.06855410337448,129.33683422803878
X57,78.94492845535278,49.59973188638687,128.54466034173964
X80,41.3293438911438,87.03999941647052,128.36934330761432
X191,78.71035966873168,47.437866020202634,126.14822568893432
X753,44.5079158782959,80.86278933286667,125.37070521116257
X739,33.13440580368042,92.0809458732605,125.21535167694093
X911,44.48421201705933,80.7098343372345,125.19404635429382
X874,82.19550213813781,42.139961862564085,124.3354640007019
X394,35.72673234939575,88.45477373600006,124.18150608539582
X802,73.24338028430938,49.657029962539674,122.90041024684905
X193,55.94667806625366,66.08095673322677,122.02763479948044
X160,54.729189491271974,67.155652526021,121.88484201729298
X841,38.63416996002197,82.54588766098023,121.18005762100219
X166,45.50474991798401,75.07443026304244,120.57918018102646
X73,51.078060150146484,69.30744149684907,120.38550164699555
X78,44.58877191543579,75.35760734081268,119.94637925624846
X210,60.38205614089966,59.02322705872357,119.40528319962323
X1012,57.31697015762329,61.994080770015714,119.311050927639
X61,34.87309608459473,82.75159913301468,117.6246952176094
X783,22.09581604003906,94.30243875980378,116.39825479984285
X909,35.89561014175415,79.88107779026032,115.77668793201447
X803,49.89760599136353,65.80115393996239,115.69875993132592
X904,51.518905544281004,64.01951186656952,115.53841741085051
X856,74.70534181594849,40.04112212657928,114.74646394252777
X56,48.06448173522949,66.47979831695557,114.54428005218506
X652,73.83309741020203,40.053862524032596,113.88695993423462
X121,72.85693016052247,41.016755890846255,113.87368605136872
X76,53.8302243232727,59.85560682415962,113.68583114743232
X812,57.00398559570313,56.39773812294006,113.40172371864318
X782,29.60058813095093,83.76124668940902,113.36183482035995
X678,52.62726423740387,60.34630200266838,112.97356624007224
X808,54.941854095458986,57.86506326198578,112.80691735744477
X83,59.6179799079895,51.889703035354614,111.50768294334412
X165,62.03261981010437,48.86811647415161,110.90073628425598
X75,91.6560606956482,19.21171534061432,110.86777603626251
X482,44.30810437202454,66.11359341740608,110.42169778943062
X755,60.51994409561157,49.70491126179695,110.22485535740853
X120,62.139738178253175,48.01187800168991,110.15161617994309
X816,70.9944580078125,38.48872530460358,109.48318331241607
X785,46.865490436553955,62.48441906273365,109.3499094992876
X69,63.01434984207153,46.26534202098846,109.27969186306
X690,55.166523933410645,53.89936187267303,109.06588580608368
X391,66.97264204025268,40.7779782295227,107.75062026977538
X63,48.51526975631714,58.8490088224411,107.36427857875825
X982,84.03853538036347,23.239686036109923,107.2782214164734
X641,35.904528045654295,71.31897404193879,107.22350208759309
X117,30.554412174224854,76.46718739271164,107.02159956693649
X189,41.762279748916626,64.37321838140488,106.13549813032151
X855,59.39094581604004,45.97721819877624,105.36816401481627
X891,60.007157707214354,45.23967896699905,105.2468366742134
X260,44.754245853424074,60.323821771144864,105.07806762456894
X889,53.59916009902954,51.326269721984865,104.9254298210144
X318,34.29510383605957,68.91834086179733,103.2134446978569
X804,49.16036033630371,53.42075877189636,102.58111910820007
X763,34.01692581176758,67.64037404060363,101.65729985237121
X479,51.365665912628174,50.17355809211731,101.53922400474548
X342,32.14143810272217,69.22537760734558,101.36681571006775
X36,61.093080043792725,40.09273852109909,101.18581856489182
X813,40.45261754989624,60.73267397880554,101.18529152870178
X815,37.402595615386964,63.50269989967346,100.90529551506043
X53,76.69241552352905,23.380221593379975,100.07263711690902
X11,50.08050203323364,49.742617630958556,99.8231196641922
X466,55.77282361984253,43.02545680999756,98.79828042984008
X465,72.00377569198608,25.83327862024307,97.83705431222916
X579,25.105701971054078,72.3123262166977,97.41802818775177
X608,61.82708582878113,34.252159929275514,96.07924575805664
X751,44.49095220565796,50.71562796216458,95.20658016782255
X976,16.96532392501831,77.74065854549409,94.7059824705124
X399,71.17193236351014,23.196042013168334,94.36797437667848
X761,48.86344385147095,44.659643936157224,93.52308778762817
X266,34.209507775306705,58.95553362369537,93.16504139900208
X752,43.7811363697052,49.23554810285568,93.01668447256088
X977,18.411426067352295,73.71074573993683,92.12217180728912
X123,48.36307208538055,42.874320435523984,91.23739252090454
X261,47.759084129333495,43.39812661409378,91.15721074342727
