feature,psi
X794,0.000526296567158253
X61,0.0005245124583370355
X796,0.0005223225385259195
X848,0.0005171544524708556
X647,0.0005168038024261385
X839,0.0005167209591930123
X1012,0.0005126375377541452
X320,0.0005122266000923625
X917,0.0005074092889416089
X406,0.0004843956248879559
X1063,0.0004720826177825936
X731,0.00046754391492164865
X16,0.00046234334019993207
X611,0.00046070180345317605
X479,0.0004599622627979652
X959,0.0004582811905172413
X425,0.0004561378710950366
X105,0.00045245765843017374
X816,0.00045138624556849004
X584,0.00044930361319605596
X968,0.00044704737057180935
X961,0.0004464169555061106
X498,0.00044459414110596337
X1045,0.00044415962280369584
X849,0.0004405110938305397
X990,0.0004377489533912694
X977,0.00043390704207619434
X985,0.0004300058906110836
X496,0.00042953847560637897
X474,0.00042027575818501906
X317,0.00041862927892716495
X180,0.0004107511579869023
X949,0.00040894574675684974
X1059,0.00039881383897894315
X127,0.00039657986216041786
X947,0.00038992036464899165
X946,0.00038531926743361455
X933,0.00038120878191630646
X1073,0.0003791761222723113
X942,0.00037643463262464314
X64,0.00037293841050266426
X964,0.0003702616435144834
X762,0.0003681794739426226
X821,0.0003615478435638051
X608,0.0003593076397810658
X847,0.00035053048495168313
X996,0.00034649754804576917
X344,0.000341415826609787
X1003,0.00033416021797597745
X191,0.0003299048325108785
X763,0.0003231203651249171
X428,0.0003202795660623079
X432,0.0003145458082756913
X967,0.00029326352360534
X913,0.00028887878042313113
X945,0.0002780648411403234
X941,0.0002741804024171472
X433,0.00027188782831094626
X369,0.000270097579316259
X473,0.0002681673282863518
X1080,0.0002587632154165231
X434,0.00025235965999096283
X992,0.00024687831270028273
X986,0.00024360596456024985
X971,0.00023339849861070053
X646,0.00022134073602776173
X467,0.00020864045432692345
X642,0.0002043055957820917
X497,0.00018906863493031576
X918,0.00018686391614366451
X640,0.00018485823765474984
X950,0.00018430865154400353
X939,0.00017815211945994307
X960,0.0001673891180526011
X912,0.00016411997350023014
X919,0.00015985560110590695
X963,0.00015255512362773226
X940,0.0001341405328408917
X924,0.00012867187190808194
X430,0.00012345437468768935
X957,0.00012019655569543732
X367,0.00011911540894395316
X954,0.00011040042357126042
X386,0.00010235921434585475
X981,0.0001017274051472507
X472,0.00010149883056166532
X387,9.892605769707622e-05
X476,8.396195735720343e-05
X937,5.309458125557044e-05
X468,5.130738812416678e-05
X920,4.973400246269876e-05
X923,4.3730299856923955e-05
X365,4.338150694952188e-05
X987,4.251704065175119e-05
X364,3.25767392705485e-05
X477,1.0967657167079069e-05
X471,8.928841668638373e-06
X922,3.3780692980981576e-07
X373,5.2647624468347613e-08
X1082,0.0
X636,0.0
X595,0.0
X514,0.0
X516,0.0
X512,0.0
X469,0.0
X470,0.0
X368,0.0
X375,0.0
X384,0.0
X366,0.0
X374,0.0
X372,0.0
